epoch,train_loss,val_loss,val_mae_dollars,learning_rate
1,0.04593048962124158,0.008245599456131458,13.138838545869623,0.0001
2,0.007116906403098255,0.004464424215257168,9.031160053048536,0.0001
3,0.006649878399912268,0.0044901492074131966,9.026818838609579,0.0001
4,0.006672013616480399,0.004472305998206139,9.020064972137982,0.0001
5,0.006348448812786955,0.004448199179023504,9.005007519766744,0.0001
6,0.0060513403586810455,0.00455419160425663,9.018391298260557,0.0001
7,0.006180756485264283,0.004428827669471502,8.931408295375176,0.0001
8,0.006208118931681383,0.00559593178331852,10.111064922483386,0.0001
9,0.006286510673817247,0.004683784209191799,9.13368906024088,0.0001
10,0.006013953789079096,0.004362044390290976,8.864512565113985,0.0001
11,0.005963878575130366,0.004670450929552317,9.13895352395576,0.0001
12,0.005824834115628619,0.004436003044247627,8.915227395187278,0.0001
13,0.005712295765988529,0.004402379505336285,8.88451688466166,0.0001
14,0.005842120517627336,0.004431936889886856,8.887828742835758,0.0001
15,0.005794059921754524,0.0057674129493534565,10.350635237091971,0.0001
16,0.006127222848590463,0.004481281153857708,8.968386216544959,0.0001
17,0.00573032764805248,0.004569303244352341,9.042498432519961,5e-05
18,0.005722613357647788,0.004765799269080162,9.228704668269298,5e-05
19,0.005874708316696342,0.004351593554019928,8.849830726367575,5e-05
20,0.005649881837598514,0.004702164325863123,9.166624949938292,5e-05
21,0.005988385215459857,0.004380607511848211,8.864131359168951,5e-05
22,0.005754400743171573,0.005073539447039366,9.573528976190833,5e-05
23,0.005568085322011029,0.004350436385720968,8.853181125158407,5e-05
24,0.005683280229277443,0.004240509122610092,8.762871254156058,5e-05
25,0.005793813419586513,0.004187960643321276,8.736544226600666,5e-05
26,0.005692048347555101,0.004397751297801733,8.898853274848323,5e-05
27,0.00548812063789228,0.004578657913953066,9.060338196017478,5e-05
28,0.0054297733076964505,0.0049236672930419445,9.390761161282647,5e-05
29,0.0054435688580269925,0.004388810601085424,8.887673089934879,5e-05
30,0.005580042343353853,0.004348553251475096,8.877707359124843,5e-05
31,0.005525118234800175,0.0049448199570178986,9.414245368317607,5e-05
32,0.005438070445961785,0.004698922857642174,9.16821458390478,2.5e-05
33,0.005666255052346969,0.0047624739818274975,9.234378189343422,2.5e-05
34,0.005456443534058053,0.004756208974868059,9.226696574717526,2.5e-05
35,0.005500864477653522,0.00459757074713707,9.070165156774085,2.5e-05
36,0.005535944008443039,0.004677910823374987,9.14034744570334,2.5e-05
37,0.005636190624500159,0.004583241883665323,9.05935865044226,2.5e-05
38,0.005344069781131111,0.004834441468119621,9.299837515611056,1.25e-05
39,0.00536742703843629,0.0049158562906086445,9.390834461558498,1.25e-05
40,0.005533416842808947,0.004547607619315386,9.0259299812939,1.25e-05
41,0.005536452779779211,0.0048946477472782135,9.367339697609317,1.25e-05
42,0.005442361274617724,0.004778660833835602,9.246966710695808,1.25e-05
43,0.005448335774417501,0.004776011686772108,9.24190478337242,1.25e-05
44,0.0054036695510149,0.004779167473316193,9.24336628826147,6.25e-06
45,0.005351964769943152,0.004696316551417112,9.160463077084284,6.25e-06
46,0.005407297809142619,0.004758791532367468,9.224858389502586,6.25e-06
47,0.005456458035041578,0.004741815850138664,9.20441030714393,6.25e-06
48,0.005283308993966784,0.004770411644130945,9.235836513107547,6.25e-06
49,0.005486166570335627,0.004737626761198044,9.20393546034968,6.25e-06
50,0.005413018545368686,0.00468597374856472,9.14982286474659,3.125e-06
