History Epochs,Best Epoch,Final Train Loss,Final Val Loss,Best Val MAE,Final Val MAE,Final Learning Rate,Final Train MAE Scaled Return,Final Val MAE Scaled Return,Best Val MAE Scaled Return,Configuration,Model,Random Seed,Deterministic Training
50,5,0.005546691303607076,0.004376513883471489,8.903217470450596,8.976617254062495,7.8125e-07,,,,technical,LSTM,42,True
50,12,0.006005767201713752,0.004406956490129232,8.743443524802831,9.0367193753619,1.5625e-06,,,,technical,GRU,42,True
50,7,0.006135814779554494,0.004485956393182278,8.847471183894038,9.059730501792274,7.8125e-07,,,,technical,Transformer,42,True
2000,8,,,,,,0.017994116958661,0.07679158023425511,0.0715524580270525,technical,XGBoost,42,True
50,6,0.005814573232783005,0.004484930075705051,8.832731054664935,8.94912377569195,7.8125e-07,,,,sentiment,LSTM,42,True
50,3,0.005440226283099037,0.0046425750479102135,8.775054486686784,9.191600087531173,7.8125e-07,,,,sentiment,GRU,42,True
50,4,0.005609782463579904,0.004678680561482906,9.095888759076473,9.290705712728725,7.8125e-07,,,,sentiment,Transformer,42,True
2000,14,,,,,,0.01133582377686788,0.07753590269694252,0.07145952468826658,sentiment,XGBoost,42,True
50,25,0.005413018545368686,0.00468597374856472,8.736544226600666,9.14982286474659,3.125e-06,,,,technical_sentiment,LSTM,42,True
50,5,0.0051363540114834905,0.004895078018307686,8.831636806040331,9.517866290936363,7.8125e-07,,,,technical_sentiment,GRU,42,True
50,11,0.00586638214008417,0.004799738060683012,8.873965162203806,9.325681127242271,1.5625e-06,,,,technical_sentiment,Transformer,42,True
2000,1,,,,,,0.0098543411152031,0.07513413377224452,0.0715534630275908,technical_sentiment,XGBoost,42,True
