History Epochs,Best Epoch,Final Train Loss,Final Val Loss,Best Val MAE,Final Val MAE,Final Learning Rate,Final Train MAE Scaled Return,Final Val MAE Scaled Return,Best Val MAE Scaled Return,Seed,Configuration,Model
50,5,0.005546691303607076,0.004376513883471489,8.903217470450596,8.976617254062495,7.8125e-07,,,,42,technical,LSTM
50,12,0.006005767201713752,0.004406956490129232,8.743443524802831,9.0367193753619,1.5625e-06,,,,42,technical,GRU
50,7,0.006135814779554494,0.004485956393182278,8.847471183894038,9.059730501792274,7.8125e-07,,,,42,technical,Transformer
2000,8,,,,,,0.017994116958661,0.07679158023425511,0.0715524580270525,42,technical,XGBoost
50,25,0.005413018545368686,0.00468597374856472,8.736544226600666,9.14982286474659,3.125e-06,,,,42,technical_sentiment,LSTM
50,5,0.0051363540114834905,0.004895078018307686,8.831636806040331,9.517866290936363,7.8125e-07,,,,42,technical_sentiment,GRU
50,11,0.00586638214008417,0.004799738060683012,8.873965162203806,9.325681127242271,1.5625e-06,,,,42,technical_sentiment,Transformer
2000,1,,,,,,0.0098543411152031,0.07513413377224452,0.0715534630275908,42,technical_sentiment,XGBoost
50,1,0.005706847456167452,0.004583822563290596,8.939113467737025,9.184963786577692,3.90625e-07,,,,43,technical,LSTM
50,18,0.005479067833221052,0.004282430279999971,8.7107877230598,8.980711405422678,1.5625e-06,,,,43,technical,GRU
50,20,0.0066703393968055025,0.004641794133931398,9.050585857436495,9.199885893401325,1.5625e-06,,,,43,technical,Transformer
2000,1,,,,,,0.01825718055796411,0.07631447178030772,0.07158234360672179,43,technical,XGBoost
50,2,0.005401483518653549,0.004722988232970238,8.891491668150332,9.280491767237912,7.8125e-07,,,,43,technical_sentiment,LSTM
50,4,0.005418868524429854,0.004700147546827793,8.860124999995328,9.338858894752823,7.8125e-07,,,,43,technical_sentiment,GRU
50,5,0.00600729146390222,0.004750752355903387,8.711843406875131,9.253818977845784,7.8125e-07,,,,43,technical_sentiment,Transformer
2000,4,,,,,,0.00977444223625639,0.07635179564120277,0.07146929393685053,43,technical_sentiment,XGBoost
50,13,0.005388054240029305,0.004574885126203299,8.914802374785895,9.185640465752291,7.8125e-07,,,,44,technical,LSTM
50,15,0.005634402121359017,0.0043138922192156315,8.797695092371354,8.981994791527136,1.5625e-06,,,,44,technical,GRU
50,6,0.005679007139406167,0.004835046827793121,8.909301216507094,9.23815925544545,7.8125e-07,,,,44,technical,Transformer
2000,1,,,,,,0.01836560059040932,0.07622140598675561,0.07154981389878289,44,technical,XGBoost
50,2,0.005476113801705651,0.004682458005845547,8.889033332863228,9.220736780785002,7.8125e-07,,,,44,technical_sentiment,LSTM
50,10,0.005715206571039744,0.0046884892508387566,8.932066082830136,9.230290343907441,7.8125e-07,,,,44,technical_sentiment,GRU
50,16,0.005975832464173436,0.004712454043328762,9.121374492499694,9.33849076533333,1.5625e-06,,,,44,technical_sentiment,Transformer
2000,12,,,,,,0.00979006892072013,0.07684695815283155,0.07141248597985222,44,technical_sentiment,XGBoost
50,10,0.005208977599977516,0.004463812801986933,8.864286248665817,9.104713849979268,1.5625e-06,,,,45,technical,LSTM
50,16,0.005686782315024175,0.004816692788153887,8.977732199620775,9.503802541990447,7.8125e-07,,,,45,technical,GRU
50,16,0.0061304949631448835,0.004503075033426285,8.936133122524762,9.037085738080343,3.125e-06,,,,45,technical,Transformer
2000,8,,,,,,0.01834845005259697,0.07628907547110603,0.0714204249873994,45,technical,XGBoost
50,16,0.005506517809408251,0.004728714935481548,8.88626598120015,9.247662636626226,7.8125e-07,,,,45,technical_sentiment,LSTM
50,10,0.005328694613126572,0.005125358235090971,8.883394433034494,9.91324177839881,1.5625e-06,,,,45,technical_sentiment,GRU
50,28,0.00612936046672985,0.004848096519708633,8.929639800133934,9.373377657144053,3.125e-06,,,,45,technical_sentiment,Transformer
2000,4,,,,,,0.00961236532148698,0.07580359090888311,0.07158035158164917,45,technical_sentiment,XGBoost
50,18,0.005683301467797719,0.0043080453760921955,8.81539479574907,8.933067204619975,3.125e-06,,,,46,technical,LSTM
50,21,0.005812838804558851,0.00462800869718194,8.99714339817522,9.288821359781737,1.5625e-06,,,,46,technical,GRU
50,5,0.00658545974874869,0.004745801445096731,8.922159162352713,9.228591278731455,7.8125e-07,,,,46,technical,Transformer
2000,1,,,,,,0.01827639367464499,0.07634128488245465,0.07157825690413279,46,technical,XGBoost
50,12,0.005634379114781041,0.0047406102530658245,8.799041248057199,9.301966954121623,1.5625e-06,,,,46,technical_sentiment,LSTM
50,9,0.0053969985820003785,0.004922495223581791,8.7878986756825,9.495421339204468,1.5625e-06,,,,46,technical_sentiment,GRU
50,13,0.006453132591559552,0.004765053745359182,8.902290200047423,9.3071904154014,7.8125e-07,,,,46,technical_sentiment,Transformer
2000,7,,,,,,0.00958727434027466,0.07601088238140893,0.07146774681787642,46,technical_sentiment,XGBoost
